BinarySearch,BubbleSort,Fibonacci,HeapSort,LinearSearch,MergeSort,NQueen24,NQueen27,PrimeNumber,SelectionSort,ShellSort
0.019422275,9.510859172,5.494058463,0.03196524,9.213106059,0.08001966,0.21419335,0.271840513,0.756809717,6.997596992,0.020206033
0.020193281,8.528246849,5.643563898,0.032025677,3.137357214,0.137610564,0.316887978,0.387732095,0.838541717,7.850573024,0.023860664
0.017933835,8.615946143,6.089520241,0.0374948,3.139935723,0.145304238,0.336413819,0.394085686,0.77573335,7.852639782,0.020550802
0.026019622,8.664836487,5.802878254,0.032160053,3.136396742,0.151481491,0.355402049,0.458804762,0.764229193,6.729093103,0.02346749
0.02352043,8.700984068,5.805694674,0.047369286,3.142532435,0.157891373,0.358683044,0.480994697,0.764526041,6.704002722,0.023966365
0.02001913,8.686521024,5.92786905,0.036345448,3.152071221,0.160041396,0.383278178,0.484162555,0.763037692,6.810106667,0.019767595
0.025304815,8.704934547,5.716266624,0.033650302,3.150103637,0.158956053,0.356562796,0.478473335,0.760481445,6.738379904,0.027967107
0.027685883,8.798917086,5.80430747,0.041259361,3.148929009,0.154557358,0.364419605,0.491655899,0.756560624,6.762962581,0.033640688
0.026533254,9.307751697,5.718957765,0.038309285,3.166017281,0.131976136,0.371412145,0.468235421,0.746724116,6.760653567,0.030843926
0.027734567,10.40358689,5.737871521,0.050024859,3.164121234,0.150729045,0.351687263,0.481094433,0.754938156,6.967447011,0.025144248
0.028112244,9.986074997,5.768062646,0.036125573,3.194809537,0.149027537,0.372556608,0.486817011,0.781648563,7.121390352,0.023580317
0.018142423,9.051770305,6.096072255,0.041821906,3.170370133,0.141941242,0.360234856,0.475398067,0.741247886,6.947817229,0.026276039
0.029733511,8.953107351,6.507953411,0.03677605,3.214088311,0.150531746,0.371053356,0.469372601,0.776807192,7.065828685,0.032165109
0.027920967,9.092662617,6.548924045,0.049787305,3.182452233,0.133315088,0.368268817,0.474560071,0.792724104,7.499652202,0.02897156
0.038873466,9.067372163,6.686440928,0.039874672,3.28640431,0.150431142,0.360014843,0.485126017,0.787285812,7.667152249,0.030894683
0.027137899,9.271093427,6.414618721,0.050202241,3.214301016,0.133376684,0.370369529,0.468545809,0.780418309,7.789212812,0.028012977
0.026929568,9.496906734,6.492547385,0.043934323,3.211111796,0.084666105,0.36667718,0.491058536,0.772920285,8.040612476,0.027980468
0.030634486,9.782891574,6.174497288,0.037190635,3.211970693,0.07182481,0.354623934,0.485092022,0.771745178,7.72442842,0.039755071
0.023840874,9.865865524,5.800254957,0.042898581,3.214192639,0.06512464,0.380240389,0.46735965,0.769141652,7.179342713,0.023179785
0.022280225,9.373078992,5.667146065,0.038396812,3.278657956,0.070850478,0.356569865,0.495747625,0.774905706,6.735175735,0.034219998
0.030029633,8.975202836,5.677997435,0.04259603,3.213118959,0.063015991,0.370210088,0.489282617,0.773290235,6.691032434,0.034241976
0.018468916,8.988830905,5.680416706,0.04242703,3.208887208,0.072775659,0.369444344,0.478520512,0.761849648,6.777894264,0.023919348
0.025289414,9.112759784,5.682171369,0.045415124,3.264518233,0.080796273,0.37790277,0.488422564,1.025599216,6.81718958,0.031818851
0.031212449,9.408928423,5.740096919,0.040630124,3.674052327,0.063747529,0.357175953,0.427812657,0.772839458,6.770659322,0.035795379
0.035771634,9.926401129,5.8251663,0.040877286,4.13772946,0.078353617,0.393124186,0.471820079,0.776091753,6.78269911,0.026652776
0.020480812,10.36661151,5.863933265,0.042921358,3.817339319,0.065077195,0.362372408,0.483786983,0.774060774,6.99512847,0.022063506
0.027864069,10.48426628,6.208609253,0.043911846,3.825620513,0.074468786,0.356028539,0.510119222,0.832984138,7.229895245,0.020118749
0.019850465,9.349816157,6.344755588,0.030026422,3.721003135,0.074484256,0.376709437,0.654022965,0.76791024,8.104850157,0.035049718
0.02431882,8.930893428,6.55768424,0.053158564,3.838469722,0.07081189,0.382262824,0.647229838,0.777831312,7.973092523,0.027832332
0.031502892,9.257915626,6.740358305,0.051908438,4.16260459,0.066040254,0.485934404,0.525978455,0.926681577,7.991087003,0.030462806
0.031870918,9.150208821,6.691238013,0.035658449,3.867675377,0.080051392,0.490644942,0.55912172,0.908087336,8.033350592,0.030605464
0.024969313,10.1665215,6.540373928,0.048180053,3.876715989,0.07487192,0.462496871,0.601547503,0.920728151,7.725866199,0.016257121
0.025647707,10.05267816,6.280304202,0.048566038,3.928200577,0.06687356,0.430330919,0.568741,0.918701497,7.193885356,0.021462179
0.017522626,10.50903089,5.972348479,0.034956617,3.732291839,0.071701841,0.440657668,0.568040473,0.917296562,7.112196409,0.043681649
0.032392722,10.64648174,5.927206208,0.034152226,3.692041527,0.073499596,0.433054809,0.563559474,0.918421964,6.900166591,0.027528535
0.023155789,10.45017075,5.878555267,0.044323958,3.491078281,0.071565389,0.433953449,0.578621259,0.915436045,6.990778712,0.020002401
0.01668612,9.763628925,5.873459808,0.03725961,3.368934942,0.07639985,0.431467156,0.558159177,0.917649632,6.96723434,0.020068539
0.023007176,9.058899721,5.856715991,0.030588359,3.347618142,0.072455357,0.420493855,0.553747305,0.923855716,6.99178659,0.025315278
0.022514016,9.238756365,5.911491001,0.045395016,3.373852206,0.074852794,0.444004136,0.577087114,0.917878147,7.166187753,0.023162171
0.021588961,9.293944227,6.398510525,0.050772989,3.35846231,0.064572,0.42395067,0.522812927,0.914015362,7.587844377,0.040333512
0.019639002,9.223409042,6.368211548,0.039351101,3.370379517,0.071705099,0.444468387,0.53229197,0.919180692,8.03633083,0.027215109
0.024483849,9.48432982,6.757253448,0.040843775,3.398470973,0.076926931,0.428125408,0.53099752,0.922005262,7.953733808,0.025869872
0.018673098,10.34694905,6.727441139,0.036714162,3.379024838,0.074999692,0.437516511,0.526245424,0.918674745,7.938301292,0.026012727
0.024986016,10.48739832,6.792808701,0.037976254,3.387582521,0.074384568,0.426454318,0.519462734,1.059081167,7.894640991,0.01953158
0.031823634,10.70524738,6.74186369,0.039044927,3.37108645,0.081093951,0.434786004,0.510319012,0.918713766,7.545015297,0.020197719
0.027685335,10.00255281,6.755896289,0.043664281,3.506715452,0.076065388,0.436267231,0.518426552,0.934095292,7.044422475,0.030794728
0.020121284,9.163008989,6.490095455,0.043480184,3.397743037,0.072677103,0.408086011,0.525729729,0.91482958,6.921551299,0.030629035
0.023519092,9.093337161,6.134513641,0.049993539,3.464990597,0.072932758,0.420162505,0.523230903,0.949461146,6.908256093,0.034688635
0.021562698,9.118677544,5.830863086,0.041213478,3.549690581,0.072501812,0.432240021,0.540889577,0.926443552,6.888235396,0.019267752
0.034914485,9.156048847,5.946050119,0.033557333,3.652768821,0.078692632,0.423602774,0.525109039,0.916126814,6.948126336,0.024297705
0.025413589,9.569479879,6.082097186,0.050209076,3.776898337,0.071031119,0.341304108,0.539247671,0.932633137,7.01161017,0.027924041
0.016849752,9.864666405,6.292021197,0.027989058,3.889897937,0.063660069,0.422546109,0.536314851,0.927822274,7.241082721,0.015741119
0.026565231,10.68040776,5.967476925,0.040069884,3.890705016,0.072146448,0.339114678,0.531009868,0.926958026,7.503670687,0.035637565
0.019962206,10.55802294,6.1348055,0.050923314,3.885185969,0.071512038,0.420502797,0.534990184,0.919830574,7.870511057,0.028176106
0.017105433,10.32445881,6.191703207,0.032884985,3.873161682,0.072297057,0.422334703,0.541127122,0.918612848,8.086334777,0.027893927
0.034609007,9.711634014,6.547445939,0.044012459,3.855828305,0.071855618,0.389828839,0.555586251,0.922204711,7.958044161,0.023985565
0.038452245,9.146058919,6.806445642,0.036094599,3.861625037,0.069983385,0.424707915,0.54406113,0.921978808,7.771200702,0.01682756
0.010220555,9.299524456,6.73130489,0.040014101,3.863434,0.07304543,0.341536156,0.555249266,0.924134502,7.461607917,0.044127302
0.022057868,9.12913426,6.725895544,0.043527143,3.835966626,0.073360759,0.424018737,0.547976055,0.917086713,6.980394275,0.026535704
0.029128979,9.333587041,6.631072926,0.03650334,3.770239909,0.06941823,0.430521219,0.554687515,0.938513724,6.886668942,0.022226373
0.024380337,9.40272225,6.561833427,0.032778087,3.571803295,0.074030364,0.385342109,0.557198984,0.917496173,6.908026158,0.024288467
0.022134153,10.42032547,6.181855746,0.022522162,3.757050108,0.071325284,0.412917864,0.551671776,0.92407374,6.903352941,0.019613094
0.025283639,10.63157491,5.905991756,0.022795116,3.385200442,0.071444142,0.349487311,0.550365967,0.915814423,7.084581385,0.031895808
0.025390667,10.68283907,5.837313176,0.016111845,3.356179426,0.07575454,0.414459571,0.548715068,0.986576853,7.334699025,0.02737617
0.022221723,10.19900584,5.842957602,0.016061588,3.358064681,0.075392646,0.321409658,0.552734847,0.95697266,7.85319604,0.026271708
0.022424982,9.22815203,5.906517578,0.025194432,3.358803493,0.072888239,0.404110162,0.545939096,0.924157151,7.935978814,0.02793943
0.02057198,9.06159818,5.883039335,0.016354407,3.381487664,0.064607328,0.325929054,0.548585404,0.921075807,7.92043941,0.017295775
0.04001416,9.142100539,5.911028066,0.017524267,3.608407316,0.07174643,0.399022935,0.548350396,0.928538375,7.94333429,0.024505626
0.028786614,9.208310733,6.287779602,0.016281287,3.389445955,0.078741442,0.417595955,0.562471591,0.93274708,8.062633583,0.028521339
0.023447873,9.319393237,6.717100092,0.016660205,3.388433864,0.063365684,0.356348443,0.545131985,0.945711834,7.19825537,0.030273591
0.011279704,9.404930113,6.712609886,0.016851271,3.444160355,0.071769933,0.395204227,0.554374892,0.955625097,6.988419806,0.030608925
0.02123291,10.38519935,6.718426533,0.024364793,3.480754288,0.073899058,0.39049382,0.544478942,0.958897307,6.922785622,0.01754213
0.019408743,10.50947812,6.833882742,0.020931272,3.461201176,0.07477233,0.399721305,0.550300807,0.9638096,6.923660855,0.025847242
0.025309712,10.51905031,6.752539912,0.016232123,3.493776797,0.07186345,0.318900193,0.549459854,0.967995022,7.197359681,0.024786759
0.027332723,10.11052934,6.187813956,0.01659777,3.586362028,0.075253419,0.379836501,0.573277407,0.9826578,7.168376394,0.01731358
0.031833645,9.541883117,5.921258121,0.015546252,3.739878701,0.072197155,0.303211363,0.568205418,1.005553831,7.646286541,0.042716571
0.013880118,9.090679948,5.809438334,0.026219685,3.842900637,0.072081825,0.394331234,0.554326698,0.99426187,7.937284899,0.019861045
0.013890109,9.104062126,5.838069118,0.017753601,3.896673832,0.07507676,0.311644682,0.549236047,1.009644779,7.964025527,0.027409122
0.023845178,9.128757877,5.861663385,0.017267039,4.019832734,0.063262219,0.37818942,0.558032375,1.020286014,8.236159305,0.017635592
0.019708424,9.170989647,5.896014715,0.015689446,3.899101632,0.07502584,0.311471927,0.54315059,1.033987402,7.871741097,0.037582895
0.029951082,9.538912883,5.883809096,0.024263649,3.908049641,0.071587659,0.379330156,0.549511321,1.038566316,7.738891637,0.02851578
0.022406151,10.57426683,6.040773481,0.021553486,3.870940526,0.073520454,0.304146764,0.551622768,1.041891785,7.078435765,0.025959611
0.027883529,10.51699999,6.394697724,0.013159202,3.85634808,0.072897386,0.38541241,0.551147104,1.049206842,6.858612585,0.018518912
0.035089616,10.38224137,6.706155911,0.016968429,3.863924435,0.079892698,0.310118662,0.544146261,1.043377856,6.989730341,0.032375662
0.017520541,10.04256754,6.759339238,0.017194835,3.836034223,0.073744072,0.38112493,0.548628147,1.047546407,6.941560177,0.02881808
0.023103139,9.125558253,6.754433657,0.025528807,3.663511402,0.07215935,0.392741938,0.547962815,1.039996447,6.943666338,0.026764921
0.030904071,9.084257685,6.75197219,0.018485551,3.506224086,0.07216711,0.340939005,0.550362685,1.040065537,7.116371535,0.024470973
0.025374204,9.191994303,6.589176968,0.016351727,3.372009232,0.073699124,0.382443687,0.543427751,1.039758159,7.792712023,0.023695848
