BinarySearch,BubbleSort,Fibonacci,HeapSort,LinearSearch,MergeSort,NQueen24,NQueen27,PrimeNumber,SelectionSort,ShellSort
0.024169105,7.33237846,6.096046528,0.022217607,4.882848929,0.010434407,0.22754187,0.261880388,0.312872421,3.624792731,0.012230941
0.032136363,8.831246958,6.495604445,0.018852237,5.914289661,0.012980308,0.323588385,0.379527247,0.495950825,3.706537102,0.01007314
0.035062501,8.317894254,7.213856816,0.015125697,5.839858018,0.013085501,0.317862716,0.411627482,0.508284556,3.6467725,0.004513165
0.02848115,8.282457763,6.78204264,0.025129889,5.806848937,0.009089385,0.329778517,0.407763172,0.512727525,3.65940489,0.008469937
0.028082529,7.629837267,6.381098936,0.025170766,5.77257184,0.021018013,0.316073784,0.448420483,0.505917579,3.748439905,0.00858415
0.024465448,7.62874388,6.289780606,0.013761266,5.552154058,0.016574203,0.33381778,0.435201196,0.51884558,3.68116215,0.00456142
0.044667781,7.76658669,6.398882229,0.017177649,5.190648711,0.01561874,0.330221047,0.429761928,0.550638412,3.700890579,0.012344935
0.032768973,7.742740644,6.330286823,0.014354964,5.009624222,0.011112411,0.315912048,0.420014741,0.527446868,3.7224343,0.004487835
0.032631633,8.002732224,6.335338661,0.016946895,5.028093182,0.010086883,0.326130561,0.422081792,0.522508952,3.681786967,0.00800914
0.026020899,8.66259442,6.40852618,0.017282915,5.032894862,0.006752534,0.33562889,0.422324268,0.524640264,3.688876056,0.009710319
0.029251174,8.910534665,6.400088633,0.018278747,5.049170354,0.009477705,0.310346918,0.42350948,0.533058093,3.700717283,0.00869485
0.042079286,8.75052927,6.410285296,0.02503165,5.086349075,0.010022068,0.376859398,0.424523181,0.532169874,3.729863921,0.006891176
0.028363864,8.893966643,6.727908273,0.019948428,5.192931735,0.014485788,0.318314905,0.430082314,0.527314374,3.801330732,0.009173046
0.023071924,8.769739947,7.230167236,0.017697044,5.469013364,0.009630685,0.330563829,0.47130459,0.513533984,3.872477017,0.004504686
0.025965837,8.151735896,7.337790742,0.013975618,5.832658729,0.010484966,0.459003335,0.508378033,0.520820239,3.92907418,0.009132708
